,average_weight,minage,predicted_average_rating
0,0.0,0.0,5.07621521032
1,0.0,12.0,5.43667455428
2,0.0,8.0,5.31652143962
3,0.0,13.0,5.46671283294
4,0.0,0.0,5.07621521032
5,0.0,10.0,5.37659799695
6,0.0,8.0,5.31652143962
7,0.0,8.0,5.31652143962
8,0.0,6.0,5.2564448823
9,0.0,0.0,5.07621521032
10,0.0,10.0,5.37659799695
11,0.0,10.0,5.37659799695
12,0.0,8.0,5.31652143962
13,0.0,12.0,5.43667455428
14,0.0,0.0,5.07621521032
15,0.0,10.0,5.37659799695
16,0.0,0.0,5.07621521032
17,0.0,10.0,5.37659799695
18,0.0,10.0,5.37659799695
19,0.0,5.0,5.22640660363
20,0.0,8.0,5.31652143962
21,0.0,8.0,5.31652143962
22,0.0,0.0,5.07621521032
23,0.0,12.0,5.43667455428
24,0.0,12.0,5.43667455428
25,0.0,4.0,5.19636832497
26,0.0,21.0,5.70701906225
27,0.0,0.0,5.07621521032
28,0.0,10.0,5.37659799695
29,0.0,0.0,5.07621521032
30,0.0,0.0,5.07621521032
31,0.0,0.0,5.07621521032
32,0.0,18.0,5.61690422626
33,0.0,8.0,5.31652143962
34,0.0,12.0,5.43667455428
35,0.0,4.0,5.19636832497
36,0.0,8.0,5.31652143962
37,0.0,8.0,5.31652143962
38,0.0,8.0,5.31652143962
39,3.0,8.0,6.70718672854
40,0.0,0.0,5.07621521032
41,0.0,8.0,5.31652143962
42,3.0,8.0,6.70718672854
43,0.0,12.0,5.43667455428
44,0.0,10.0,5.37659799695
45,0.0,0.0,5.07621521032
46,0.0,8.0,5.31652143962
47,0.0,0.0,5.07621521032
48,0.0,12.0,5.43667455428
49,0.0,10.0,5.37659799695
50,0.0,0.0,5.07621521032
51,0.0,7.0,5.28648316096
52,0.0,0.0,5.07621521032
53,0.0,0.0,5.07621521032
54,0.0,10.0,5.37659799695
55,0.0,7.0,5.28648316096
56,0.0,7.0,5.28648316096
57,0.0,0.0,5.07621521032
58,0.0,8.0,5.31652143962
59,0.0,10.0,5.37659799695
60,0.0,0.0,5.07621521032
61,0.0,0.0,5.07621521032
62,0.0,0.0,5.07621521032
63,0.0,10.0,5.37659799695
64,0.0,6.0,5.2564448823
65,0.0,0.0,5.07621521032
66,0.0,8.0,5.31652143962
67,0.0,8.0,5.31652143962
68,0.0,8.0,5.31652143962
69,0.0,10.0,5.37659799695
70,0.0,10.0,5.37659799695
71,0.0,10.0,5.37659799695
72,0.0,16.0,5.55682766893
73,0.0,8.0,5.31652143962
74,0.0,0.0,5.07621521032
